lat,lon,zipcode,price
43.23001,-8.355443,15175,320
42.86932,-8.547472,15702,1000
43.5014,-8.199983,15570,350
43.49295,-8.202693,15570,500
43.48353,-8.232184,15402,320
42.86728,-8.561163,15706,675
42.92296,-8.165137,15810,900
42.86949,-8.547739,15702,750
43.34076,-8.367091,15179,550
43.49116,-8.199762,15570,420
42.86391,-8.539247,15702,600
42.89521,-8.529366,15703,450
42.87379,-8.543893,15702,550
43.36848,-8.406825,15004,850
42.87386,-8.543785,15702,550
42.86922,-8.556046,15706,675
43.48988,-8.218818,15404,320
42.86143,-8.65,15220,380
43.29157,-8.694946,15105,650
42.87225,-8.548166,15701,960
42.92978,-8.751563,15862,800
42.8733,-8.499458,15892,1500
43.36951,-8.400669,15003,1000
42.88515,-8.533582,15705,600
43.6319,-8.075122,15554,800
42.876,-8.611959,15896,1500
42.87875,-8.543744,15704,800
42.89537,-8.529377,15703,450
42.89534,-8.529376,15703,450
42.87559,-8.547543,15704,750
43.36114,-8.422228,15010,580
43.36068,-8.419817,15010,500
43.36312,-8.420735,15010,600
43.35347,-8.400661,15009,650
43.35696,-8.410221,15007,500
43.32987,-8.388904,15009,400
43.35634,-8.411798,15007,550
42.87371,-8.551679,15701,800
43.49299,-8.197882,15570,650
43.36866,-8.406056,15003,460
43.35322,-8.409312,15007,550
43.36387,-8.406547,15004,450
43.37799,-8.4044,15002,480
43.35357,-8.407442,15007,450
43.35321,-8.25623,15160,400
42.8236,-8.547366,15894,400
43.18888,-8.473671,15185,300
43.35425,-8.408052,15007,570
42.88498,-8.544377,15704,320
43.35063,-8.253455,15160,290
43.36325,-8.42149,15010,580
43.31477,-8.383536,15174,460
42.86911,-8.553318,15706,500
42.88257,-8.534946,15703,500
43.21234,-8.68999,15100,300
43.37487,-8.39988,15002,450
43.30308,-8.506578,15142,300
43.33272,-8.376918,15179,550
43.4968,-8.202624,15570,450
42.88058,-8.542775,15704,400
43.37271,-8.391277,15001,700
42.87307,-8.550792,15701,650
42.88566,-8.51654,15707,700
43.35344,-8.39323,15006,700
43.3455,-8.41062,15008,700
43.42956,-8.24481,15624,450
42.89818,-8.529063,15705,650
42.86921,-8.564381,15706,650
42.8653,-8.553582,15706,650
42.83272,-8.545979,15894,400
42.84507,-8.577477,15895,225
43.35365,-8.410805,15007,500
43.35411,-8.39727,15009,1000
43.45984,-8.256006,15620,500
42.8738,-8.550301,15701,650
43.3797,-8.41088,15172,1290
43.48262,-8.236747,15401,750
43.36822,-8.421444,15011,1100
43.48212,-8.229356,15403,370
43.3763,-8.402962,15002,450
43.36213,-8.4093,15005,1200
43.37078,-8.401009,15003,780
43.3313,-8.45829,15140,500
43.38105,-8.400728,15002,570
43.45329,-7.85051,15320,375
42.57244,-8.963278,15960,400
43.36391,-8.409496,15004,900
43.50169,-8.194942,15578,450
